,id,publication_year,cited_by_count,author_ids
117,https://openalex.org/W2263581552,2013.0,20.0,"['https://openalex.org/A5064698574', 'https://openalex.org/A5069476228', 'https://openalex.org/A5100329931', 'https://openalex.org/A5052150259', 'https://openalex.org/A5077079119']"
118,https://openalex.org/W1883771352,2015.0,19.0,"['https://openalex.org/A5077215501', 'https://openalex.org/A5102903629', 'https://openalex.org/A5077079119', 'https://openalex.org/A5052048365']"
119,https://openalex.org/W2292630385,2016.0,19.0,"['https://openalex.org/A5066236471', 'https://openalex.org/A5062155252', 'https://openalex.org/A5077079119', 'https://openalex.org/A5007418876']"
120,https://openalex.org/W2794289297,2018.0,19.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5064308770', 'https://openalex.org/A5081871525', 'https://openalex.org/A5071093940']"
121,https://openalex.org/W4289117725,2018.0,18.0,"['https://openalex.org/A5048204767', 'https://openalex.org/A5006661033', 'https://openalex.org/A5077079119', 'https://openalex.org/A5014018142']"
122,https://openalex.org/W1708027662,2010.0,22.0,"['https://openalex.org/A5102903629', 'https://openalex.org/A5062253481', 'https://openalex.org/A5077079119']"
125,https://openalex.org/W2115693236,2000.0,31.0,"['https://openalex.org/A5017914184', 'https://openalex.org/A5056106335', 'https://openalex.org/A5077079119']"
126,https://openalex.org/W2407036539,2012.0,17.0,"['https://openalex.org/A5064698574', 'https://openalex.org/A5077079119']"
127,https://openalex.org/W5555025,2010.0,17.0,"['https://openalex.org/A5081871525', 'https://openalex.org/A5077079119']"
128,https://openalex.org/W2034916548,2011.0,16.0,"['https://openalex.org/A5070091346', 'https://openalex.org/A5077079119', 'https://openalex.org/A5025964235']"
130,https://openalex.org/W2019088147,2010.0,16.0,"['https://openalex.org/A5066236471', 'https://openalex.org/A5077079119', 'https://openalex.org/A5112329027']"
131,https://openalex.org/W2204691432,2011.0,14.0,"['https://openalex.org/A5081038789', 'https://openalex.org/A5077079119']"
132,https://openalex.org/W2397166815,2012.0,14.0,"['https://openalex.org/A5010626848', 'https://openalex.org/A5081871525', 'https://openalex.org/A5077079119']"
133,https://openalex.org/W2398193891,2012.0,13.0,"['https://openalex.org/A5038687622', 'https://openalex.org/A5005554337', 'https://openalex.org/A5077079119']"
